alt_diff: -80.0 , velocity_diff: 1.5041468046728874e-18
No input weights, start from scratch
alt_diff: -80.0 , velocity_diff: 1.5041468046728874e-18
alt_diff: -80.17689623777352 , velocity_diff: 6.44964052951153e-05
alt_diff: -80.35742657316626 , velocity_diff: 0.0002077257466719687
alt_diff: -80.54400772654515 , velocity_diff: 0.00042922936680894037
alt_diff: -80.73904582685131 , velocity_diff: 0.0007283982922647714
alt_diff: -80.94493209499456 , velocity_diff: 0.0011044845991819284
alt_diff: -81.16403886237802 , velocity_diff: 0.0015566124561464984
alt_diff: -81.39871591542064 , velocity_diff: 0.002083788672828858
alt_diff: -81.6512871520344 , velocity_diff: 0.002684912597504862
alt_diff: -81.9240475315145 , velocity_diff: 0.003358785220056825
alt_diff: -82.21926029518266 , velocity_diff: 0.004104117349061872
alt_diff: -82.53915443134099 , velocity_diff: 0.004919536741618573
alt_diff: -82.88592235458867 , velocity_diff: 0.005803594072250031
alt_diff: -83.26171776625475 , velocity_diff: 0.0067547676321872245
alt_diff: -83.6686536595254 , velocity_diff: 0.007771466652287751
alt_diff: -84.10880042970714 , velocity_diff: 0.008852033141473304
alt_diff: -84.58418404686265 , velocity_diff: 0.009994742127611166
alt_diff: -85.09678424468393 , velocity_diff: 0.011197800178917836
alt_diff: -85.64853267580148 , velocity_diff: 0.012459342070929785
alt_diff: -86.24131097964911 , velocity_diff: 0.013777425446506638
alt_diff: -86.87694870436505 , velocity_diff: 0.015150023293810481
alt_diff: -87.55722101886474 , velocity_diff: 0.01657501403926778
alt_diff: -88.2838461449947 , velocity_diff: 0.01805016901861318
alt_diff: -89.05848243238657 , velocity_diff: 0.0195731370485993
alt_diff: -89.88272499006092 , velocity_diff: 0.021141425774094596
alt_diff: -90.75810177875232 , velocity_diff: 0.022752379409231017
alt_diff: -91.68606905606845 , velocity_diff: 0.024403152426089425
alt_diff: -92.66800605266445 , velocity_diff: 0.026090678669104663
alt_diff: -93.70520874127087 , velocity_diff: 0.027811635286909032
alt_diff: -94.79888254128804 , velocity_diff: 0.02956240077470143
alt_diff: -95.95013377934282 , velocity_diff: 0.031339006308596755
alt_diff: -97.15995970024215 , velocity_diff: 0.03313707942823652
alt_diff: -98.42923679268424 , velocity_diff: 0.03495177898532345
alt_diff: -99.75870715941502 , velocity_diff: 0.03677772012473902
alt_diff: -101.14896262177606 , velocity_diff: 0.03860888790420657
alt_diff: -102.60042620338174 , velocity_diff: 0.040438537993204085
alt_diff: -104.11333058673011 , velocity_diff: 0.04225908273087524
alt_diff: -105.68769307988401 , velocity_diff: 0.04406196068037332
alt_diff: -107.32328656838442 , velocity_diff: 0.0458374877157496
alt_diff: -109.0196058613825 , velocity_diff: 0.04757468765096396
alt_diff: -110.7758287727514 , velocity_diff: 0.04926110051890152
alt_diff: -112.59077121139258 , velocity_diff: 0.05088256690410372
alt_diff: -114.46283549612342 , velocity_diff: 0.05242298733002835
alt_diff: -116.38995106878261 , velocity_diff: 0.053864056745608305
alt_diff: -118.3695067685882 , velocity_diff: 0.055184975847127817
alt_diff: -120.39827387191093 , velocity_diff: 0.05636214358003208
alt_diff: -122.47231922388619 , velocity_diff: 0.05736883904540809
alt_diff: -124.58690803268908 , velocity_diff: 0.05817490663575139
alt_diff: -126.7363963195565 , velocity_diff: 0.05874646608344436
alt_diff: -128.91411369112947 , velocity_diff: 0.05904567982212098
alt_diff: -131.1122381182637 , velocity_diff: 0.05903062421054108
alt_diff: -133.32166587828712 , velocity_diff: 0.05865532912654896
alt_diff: -135.53188186798087 , velocity_diff: 0.05787007206477175
alt_diff: -137.7308382373189 , velocity_diff: 0.05662203698989499
alt_diff: -139.90485280105815 , velocity_diff: 0.05485647182814382
  0%|                                 | 0/10000 [00:00<?, ?it/s]
alt_diff: -142.03854292376536 , velocity_diff: 0.05251849584392761
crashed reward
crashed terminal
reward -100 for 1
alt_diff: -80.0 , velocity_diff: 1.5041468046728874e-18
alt_diff: -80.17689623777352 , velocity_diff: 6.44964052951153e-05
alt_diff: -80.35742657316626 , velocity_diff: 0.0002077257466719687
alt_diff: -80.54400772654515 , velocity_diff: 0.00042922936680894037
alt_diff: -80.73624464479525 , velocity_diff: 0.0005416412349200079
alt_diff: -80.93091141865472 , velocity_diff: 0.0005438667007046706
alt_diff: -81.12474536639331 , velocity_diff: 0.0004350323900452964
alt_diff: -81.31445390738577 , velocity_diff: 0.00021451651041601568
alt_diff: -81.49672236235915 , velocity_diff: 3.123441047484456e-05
alt_diff: -81.66822268748112 , velocity_diff: 0.00037951127447116603
alt_diff: -81.82562313354987 , velocity_diff: 0.0008986568160544433
alt_diff: -81.96559880356881 , velocity_diff: 0.001525536011531424
alt_diff: -82.0848430621609 , velocity_diff: 0.0022590892227168672
alt_diff: -82.1800797289292 , velocity_diff: 0.003097840403956736
alt_diff: -82.25104800263941 , velocity_diff: 0.00384181997024854
alt_diff: -82.30051450835083 , velocity_diff: 0.004489334893438913
alt_diff: -82.32834493526519 , velocity_diff: 0.005235811704220721
alt_diff: -82.33149916208086 , velocity_diff: 0.006079383627365871
alt_diff: -82.30699250111377 , velocity_diff: 0.0070177857979838295
alt_diff: -82.25190800088131 , velocity_diff: 0.008048348287827968
alt_diff: -82.16340894851342 , velocity_diff: 0.009167994007474832
alt_diff: -82.03875142142701 , velocity_diff: 0.01037324191059344
alt_diff: -81.87529672502595 , velocity_diff: 0.011660215826837872
alt_diff: -81.67052354367627 , velocity_diff: 0.013024659129335966
alt_diff: -81.42203962647832 , velocity_diff: 0.014461955304299879
alt_diff: -81.12759282793803 , velocity_diff: 0.015967154338265902
alt_diff: -80.78508132691263 , velocity_diff: 0.017535004678372264
alt_diff: -80.3925628553798 , velocity_diff: 0.01915999035934363
alt_diff: -79.94826278166667 , velocity_diff: 0.02083637273453289
alt_diff: -79.45058091056427 , velocity_diff: 0.022558236104703706
alt_diff: -78.89809688482029 , velocity_diff: 0.024319536414199868
alt_diff: -78.28957409821248 , velocity_diff: 0.02611415208594867
alt_diff: -77.62396205893964 , velocity_diff: 0.027935935999390024
