alt_diff: -80.0 , velocity_diff: 1.5041468046728874e-16
No input weights, start from scratch
alt_diff: -80.0 , velocity_diff: 1.5041468046728874e-16
alt_diff: -80.17689623777352 , velocity_diff: 0.00644964052951153
alt_diff: -80.35742657316626 , velocity_diff: 0.02077257466719687
alt_diff: -80.54400772654515 , velocity_diff: 0.04292293668089404
alt_diff: -80.73904582685131 , velocity_diff: 0.07283982922647714
alt_diff: -80.94493209499456 , velocity_diff: 0.11044845991819284
alt_diff: -81.16403886237802 , velocity_diff: 0.15566124561464983
alt_diff: -81.39871591542064 , velocity_diff: 0.20837886728288582
alt_diff: -81.6512871520344 , velocity_diff: 0.26849125975048616
alt_diff: -81.9240475315145 , velocity_diff: 0.3358785220056825
alt_diff: -82.21926029518266 , velocity_diff: 0.4104117349061872
alt_diff: -82.53915443134099 , velocity_diff: 0.4919536741618573
alt_diff: -82.88592235458867 , velocity_diff: 0.5803594072250031
alt_diff: -83.26171776625475 , velocity_diff: 0.6754767632187224
alt_diff: -83.6686536595254 , velocity_diff: 0.7771466652287751
alt_diff: -84.10880042970714 , velocity_diff: 0.8852033141473304
alt_diff: -84.58418404686265 , velocity_diff: 0.9994742127611166
alt_diff: -85.09678424468393 , velocity_diff: 1.1197800178917836
alt_diff: -85.64853267580148 , velocity_diff: 1.2459342070929784
alt_diff: -86.24131097964911 , velocity_diff: 1.377742544650664
alt_diff: -86.87694870436505 , velocity_diff: 1.5150023293810482
alt_diff: -87.55722101886474 , velocity_diff: 1.657501403926778
alt_diff: -88.2838461449947 , velocity_diff: 1.8050169018613178
alt_diff: -89.05848243238657 , velocity_diff: 1.9573137048599298
alt_diff: -89.88272499006092 , velocity_diff: 2.1141425774094595
alt_diff: -90.75810177875232 , velocity_diff: 2.275237940923102
alt_diff: -91.68606905606845 , velocity_diff: 2.4403152426089427
alt_diff: -92.66800605266445 , velocity_diff: 2.609067866910466
alt_diff: -93.70520874127087 , velocity_diff: 2.7811635286909033
alt_diff: -94.79888254128804 , velocity_diff: 2.956240077470143
alt_diff: -95.95013377934282 , velocity_diff: 3.1339006308596753
alt_diff: -97.15995970024215 , velocity_diff: 3.3137079428236524
alt_diff: -98.42923679268424 , velocity_diff: 3.495177898532345
alt_diff: -99.75870715941502 , velocity_diff: 3.677772012473902
alt_diff: -101.14896262177606 , velocity_diff: 3.860888790420657
alt_diff: -102.60042620338174 , velocity_diff: 4.0438537993204084
alt_diff: -104.11333058673011 , velocity_diff: 4.225908273087524
alt_diff: -105.68769307988401 , velocity_diff: 4.406196068037332
alt_diff: -107.32328656838442 , velocity_diff: 4.58374877157496
alt_diff: -109.0196058613825 , velocity_diff: 4.757468765096396
alt_diff: -110.7758287727514 , velocity_diff: 4.926110051890152
alt_diff: -112.59077121139258 , velocity_diff: 5.088256690410372
alt_diff: -114.46283549612342 , velocity_diff: 5.242298733002835
alt_diff: -116.38995106878261 , velocity_diff: 5.38640567456083
alt_diff: -118.3695067685882 , velocity_diff: 5.518497584712781
alt_diff: -120.39827387191093 , velocity_diff: 5.636214358003208
alt_diff: -122.47231922388619 , velocity_diff: 5.736883904540809
alt_diff: -124.58690803268908 , velocity_diff: 5.817490663575139
alt_diff: -126.7363963195565 , velocity_diff: 5.874646608344436
alt_diff: -128.91411369112947 , velocity_diff: 5.9045679822120976
alt_diff: -131.1122381182637 , velocity_diff: 5.903062421054108
alt_diff: -133.32166587828712 , velocity_diff: 5.865532912654896
alt_diff: -135.53188186798087 , velocity_diff: 5.787007206477175
alt_diff: -137.7308382373189 , velocity_diff: 5.662203698989499
alt_diff: -139.90485280105815 , velocity_diff: 5.4856471828143825
  0%|                                 | 0/10000 [00:00<?, ?it/s]
alt_diff: -142.03854292376536 , velocity_diff: 5.251849584392761
crashed reward
crashed terminal
reward -100 for 1
alt_diff: -80.0 , velocity_diff: 1.5041468046728874e-16
alt_diff: -80.17689623777352 , velocity_diff: 0.00644964052951153
alt_diff: -80.35742657316626 , velocity_diff: 0.02077257466719687
alt_diff: -80.54400772654515 , velocity_diff: 0.04292293668089404
alt_diff: -80.73624464479525 , velocity_diff: 0.05416412349200079
alt_diff: -80.93091141865472 , velocity_diff: 0.054386670070467054
alt_diff: -81.12474536639331 , velocity_diff: 0.04350323900452964
alt_diff: -81.31445390738577 , velocity_diff: 0.021451651041601568
alt_diff: -81.49672236235915 , velocity_diff: 0.003123441047484456
alt_diff: -81.66822268748112 , velocity_diff: 0.0379511274471166
alt_diff: -81.82562313354987 , velocity_diff: 0.08986568160544432
alt_diff: -81.96559880356881 , velocity_diff: 0.1525536011531424
alt_diff: -82.0848430621609 , velocity_diff: 0.2259089222716867
alt_diff: -82.1800797289292 , velocity_diff: 0.3097840403956736
alt_diff: -82.24807596547782 , velocity_diff: 0.40398777490442006
alt_diff: -82.28565574295521 , velocity_diff: 0.5082838695705086
alt_diff: -82.28971375438653 , velocity_diff: 0.6223899996112
alt_diff: -82.25722961453454 , velocity_diff: 0.7459773503099194
alt_diff: -82.18528217046097 , velocity_diff: 0.8786708232912945
alt_diff: -82.07106372926921 , velocity_diff: 1.0200499146444448
alt_diff: -81.91189399661229 , velocity_diff: 1.169650294368792
alt_diff: -81.70523351128864 , velocity_diff: 1.326966099420959
alt_diff: -81.44869635835653 , velocity_diff: 1.4914529335122197
alt_diff: -81.14006194621743 , velocity_diff: 1.6625315464554276
alt_diff: -80.77728564237589 , velocity_diff: 1.8395921451410076
alt_diff: -80.35850807813756 , velocity_diff: 2.021999268079797
alt_diff: -79.88206295411433 , velocity_diff: 2.2090971368680656
alt_diff: -79.34648320554211 , velocity_diff: 2.4002153818587852
alt_diff: -78.75050541825996 , velocity_diff: 2.5946750266145435
alt_diff: -78.09307242168481 , velocity_diff: 2.791794607058203
alt_diff: -77.37333402298799 , velocity_diff: 2.990896297098958
alt_diff: -76.59064588554548 , velocity_diff: 3.191311913106577
alt_diff: -75.74456659316513 , velocity_diff: 3.3923886748798577
alt_diff: -74.83778124727175 , velocity_diff: 3.574038060293827
alt_diff: -73.87598816402976 , velocity_diff: 3.7363017667029923
alt_diff: -72.86487363421449 , velocity_diff: 3.8793330621718463
alt_diff: -71.81007973611082 , velocity_diff: 4.003383516867068
alt_diff: -70.71717602195196 , velocity_diff: 4.1087895995783414
alt_diff: -69.58893310814594 , velocity_diff: 4.213904141526907
alt_diff: -68.4254158087144 , velocity_diff: 4.3185237513585655
alt_diff: -67.22675193752889 , velocity_diff: 4.422459075838716
alt_diff: -65.99312811501292 , velocity_diff: 4.5255351082839494
alt_diff: -64.72478547801404 , velocity_diff: 4.627591359059264
alt_diff: -63.422015334539 , velocity_diff: 4.728481895448774
alt_diff: -62.085154802813435 , velocity_diff: 4.8280752597182
alt_diff: -60.7145824714475 , velocity_diff: 4.926254275381875
alt_diff: -59.31071411445561 , velocity_diff: 5.022915752565695
alt_diff: -57.873998491588765 , velocity_diff: 5.117970103932111
alt_diff: -56.40491326098001 , velocity_diff: 5.211340882922788
alt_diff: -54.90396102756375 , velocity_diff: 5.302964256104355
alt_diff: -53.37166554718647 , velocity_diff: 5.3927884212028925
alt_diff: -51.810905210463375 , velocity_diff: 5.465262785657681
alt_diff: -50.22678949101183 , velocity_diff: 5.521047248299839
alt_diff: -48.62423646378619 , velocity_diff: 5.560817095987491
alt_diff: -47.007968522024356 , velocity_diff: 5.585254525178495
